cafe_id,cafe_name
1,Bramble Downtown
2,Bramble Riverside
3,Bramble Oak Park
4,Bramble Harbor Point
5,Bramble Elm Street
6,Bramble Union Square
7,Bramble Maple Heights
8,Bramble Cedar Lane
9,Bramble Station North
10,Bramble Willow Creek
11,Bramble Old Mill
12,Bramble Fairview
13,Bramble Birch Alley
14,Bramble Lakeside
15,Bramble Kingsway
16,Bramble Hollow Ridge
17,Bramble Grant Avenue
18,Bramble Sunnyvale
19,Bramble Ironworks
20,Bramble Chestnut Row
21,Bramble Foxglove
22,Bramble Quarry Road
23,Bramble Northgate
24,Bramble Pine Hollow
25,Bramble Amber Court
26,Bramble Sable Street
27,Bramble Meadowbrook
28,Bramble Clocktower
29,Bramble Hazel Grove
30,Bramble Winterport
31,Bramble Silver Birch
32,Bramble Copperfield
33,Bramble Larkspur
34,Bramble Stonebridge
35,Bramble Thistledown
36,Bramble Redwood Way
37,Bramble Juniper Flats
38,Bramble Marlowe Park
39,Bramble Ashford
40,Bramble Wren Hollow
