cafe_id,month,roasted_lbs,sold_lbs,waste_lbs
1,January,360,420,22
2,January,192,224,12
3,January,150,175,6
4,January,198,231,7
5,January,330,385,11
6,January,246,287,14
7,January,126,147,5
8,January,246,287,10
9,January,288,336,18
10,January,174,203,5
11,January,132,154,4
12,January,138,161,5
13,January,168,196,9
14,January,120,140,7
15,January,174,203,10
16,January,270,315,7
17,January,288,336,8
18,January,174,203,8
19,January,240,280,10
20,January,114,133,6
21,January,276,322,13
22,January,192,224,11
23,January,288,336,9
24,January,174,203,5
25,January,282,329,8
26,January,210,245,12
27,January,222,259,13
28,January,294,343,12
29,January,144,168,4
30,January,300,350,17
31,January,150,175,7
32,January,144,168,4
33,January,330,385,17
34,January,168,196,8
35,January,324,378,12
36,January,186,217,11
37,January,270,315,11
38,January,270,315,17
39,January,342,399,9
40,January,306,357,12
1,February,486,567,22
2,February,246,287,11
3,February,192,224,12
4,February,258,301,15
5,February,438,511,21
6,February,336,392,14
7,February,174,203,9
8,February,342,399,20
9,February,426,497,19
10,February,210,245,10
11,February,174,203,5
12,February,186,217,8
13,February,210,245,5
14,February,168,196,7
15,February,216,252,6
16,February,336,392,13
17,February,426,497,20
18,February,234,273,9
19,February,312,364,13
20,February,162,189,8
21,February,384,448,12
22,February,276,322,12
23,February,354,413,12
24,February,264,308,14
25,February,354,413,16
26,February,276,322,14
27,February,288,336,16
28,February,414,483,25
29,February,192,224,11
30,February,366,427,18
31,February,198,231,8
32,February,192,224,4
33,February,462,539,18
34,February,228,266,6
35,February,420,490,10
36,February,270,315,6
37,February,324,378,9
38,February,360,420,17
39,February,444,518,20
40,February,402,469,21
1,March,450,525,11
2,March,258,301,15
3,March,192,224,8
4,March,270,315,14
5,March,456,532,26
6,March,330,385,20
7,March,174,203,5
8,March,318,371,19
9,March,384,448,14
10,March,222,259,9
11,March,156,182,4
12,March,174,203,4
13,March,204,238,5
14,March,168,196,5
15,March,222,259,8
16,March,330,385,12
17,March,396,462,16
18,March,222,259,12
19,March,348,406,13
20,March,168,196,6
21,March,414,483,11
22,March,246,287,9
23,March,378,441,15
24,March,240,280,12
25,March,366,427,14
26,March,306,357,10
27,March,318,371,17
28,March,426,497,17
29,March,192,224,9
30,March,348,406,11
31,March,186,217,6
32,March,192,224,10
33,March,462,539,14
34,March,228,266,13
35,March,450,525,11
36,March,252,294,12
37,March,366,427,15
38,March,348,406,11
39,March,456,532,26
40,March,384,448,23
1,April,438,511,24
2,April,252,294,9
3,April,186,217,9
4,April,282,329,7
5,April,450,525,13
6,April,324,378,18
7,April,162,189,4
8,April,300,350,9
9,April,420,490,22
10,April,228,266,9
11,April,168,196,9
12,April,186,217,9
13,April,216,252,9
14,April,168,196,8
15,April,222,259,6
16,April,336,392,18
17,April,426,497,17
18,April,216,252,12
19,April,348,406,11
20,April,162,189,4
21,April,366,427,12
22,April,264,308,13
23,April,384,448,16
24,April,240,280,14
25,April,372,434,16
26,April,282,329,11
27,April,324,378,8
28,April,432,504,22
29,April,186,217,6
30,April,360,420,14
31,April,198,231,9
32,April,198,231,5
33,April,432,504,21
34,April,228,266,12
35,April,432,504,14
36,April,264,308,14
37,April,360,420,9
38,April,336,392,18
39,April,438,511,19
40,April,414,483,24
